prompt,Response,Reviewer-2
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.

Time-sharing operating systems schedule tasks for efficient use of the system and may also include accounting software for cost allocation of processor time, mass storage, printing, and other resources.

For hardware functions such as input and output and memory allocation, the operating system acts as an intermediary between programs and the computer hardware,although the application code is usually executed directly by the hardware and frequently makes system calls to an OS function or is interrupted by it. Operating systems are found on many devices that contain a computer – from cellular phones and video game consoles to web servers and supercomputers.

.Linux distributions are dominant in the server and supercomputing sectors. Other specialized classes of operating systems  such as embedded and real-time systems, exist for many applications. Security-focused operating systems also exist. Some operating systems have low system requirements  Others may have higher system requirements.

Some operating systems require installation or may come pre-installed with purchased computers , whereas others may run directly from media  or flash memory ",
,"An operating system (OS) is the program that, after being initially loaded into the computer by a boot program, manages all of the other application programs in a computer. The application programs make use of the operating system by making requests for services through a defined application program interface (API).
The three most common operating systems for personal computers are Microsoft Windows, macOS, and Linux.",
,"An operating system is a system software that manages computer hardware, software resources, and provides common services for computer programs.",
,"An Operating System (OS) is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.",
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.",
,"It is the interface between the user and the computer,it perfoms memory allocation, memory management,process management etc ",
,"An operating system is a software that manages computer hardware, software resources and provides common services program.",
,"Operating system is a software that manages computer hardware, software resources",
,Windows 10,
,"os is a software that communicates with hardware and makes programs to run in desktop, mobile phone.",
,"An Operating System (OS) is a software that acts as an interface between computer hardware components and the user. Every computer system must have at least one operating system to run other programs. Applications like Browsers, MS Office, Notepad Games, etc., need some environment to run and perform its tasks.",
,"OS is an interface between hardware and user . An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs. ... Operating systems are found on many devices that contain a computer – from cellular phones and video game consoles to web servers and supercomputers.",
,"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.",
,Engineering subject,
,An system software works as an interface between software and hardware,
,"An Operating System (OS) is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.",
,An operating system software that manages both hardware and software resorces,
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. ... 
EXAMPLES:---
Software In Genre: Linux, AmigaOS, macOS, Unix",
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programsTime-sharing operating systems schedule tasks for efficient use of the system and may also include accounting software for cost allocation of processor time, mass storage, printing, and other resources.",
,"An Operating System (OS) is a software that acts as an interface between computer hardware components and the user. Every computer system must have at least one operating system to run other programs. Applications like Browsers, MS Office, Notepad Games, etc., need some environment to run and perform its tasks.
The OS helps you to communicate with the computer without knowing how to speak the computer's language. It is not possible for the user to use any computer or mobile device without having an operating system.",
,Os(Operating system) is an interface between hardware and software and provide common services for programs,
,An operating system is common computer piece in  the world today. It can also direct applications and programs within the computer.an operating systems communicate between the hardware and the programs.,
,An operating system is system software that manages computer hardware,
,Operating system means interaction between hardware and software.,
,"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs. Operating systems are found on many devices that contain a computer. ",
,"OS is system software that manages computer hardware, software resources, and provides common services for computer programs ",
,Software that manages hardware and software resources,
,Software  that manages computer hardware for computer programs operating system are found many devices contain a computer  system it is from the cellular phone and vedieo  game consoles to web servers and supercomputers ,
,An operating system is a program that acts as an interface between the user and the computer hardware and controls the execution of all kinds of programs.,
,"An Operating System (OS) is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.",
,Interface between software and user,
,"An operating system is a collection of software which hadels the computer hardware resources and also provides common services for computer programs.
The operating system is a vital component of system software.",
,"A program that acts as an intermediary between a user of a
computer and the computer hardware
Operating system goals:
Execute user programs and make solving user problems
easier
Make the computer system convenient to use
Use the computer hardware in an efficient manner. 
An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.
Some popular Operating Systems include Linux Operating System, Windows Operating System, VMS, OS/400, AIX, z/OS, etc.
Following are some of important functions of an operating System.

Memory Management
Processor Management
Device Management
File Management
Security
Control over system performance
Job accounting
Error detecting aids
Coordination between other software and users",
," operating system is system software that manages computer hardware, software resources, and provides common services for computer programs. ",
,Interface between user and the system.,
,An application software which acts as interface between application and system hardware ,
," Operating System (OS) is system software that manages computer hardware&software resources, and provides common services for computer programs..",
,"An operating system is a system software which manages computer hardware ,software resources and provides common services for computer programming. ",
,"An Operating System (OS) is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.It also allows you to communicate with the computer without knowing how to speak the computer's language.",
,"An operating system (OS) is the program that, after being initially loaded into the computer by a boot program, manages all of the other application programs in a computer. The application programs make use of the operating system by making requests for services through a defined application program interface (API). In addition, users can interact directly with the operating system through a user interface, such as a command-line interface (CLI) or a graphical UI (GUI).",
,"Opearting system is a system software that manages computer hadware, software resources and provides common services for computer programs. For hardware functions such as input and output and memory allocation, os act as intermediatery between program and the computer hardware. ",
,"Operating System (OS) is system software, which acts as an interface between a user of the computer and the computer hardware.",
,An operating system  is software that communicates with the hardware and allows other programs to run.,
,"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.",
,"operating system  is system software that manages computer hardware, software resources.",
,Os is defined as interface between user and hardware.,
,"An operating system, or ""OS,"" is software that communicates with the hardware and allows other programs to run.",
,An operating system is a construct that allows the user application programs to interact with the system hardware. Operating system by itself does not provide any function but it provides an atmosphere in which different applications and programs can do useful work.,
, OS is a software which makes an Interface between user and the hardware of computer,
,"An Operating System (OS) is an interface between a computer user and computer hardware. Every computer system must have at least one operating system to run other programs. Applications like Browsers, MS Office, Notepad Games, etc., need some environment to run and perform its tasks.An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.

Some popular Operating Systems include Linux Operating System, Windows Operating System, VMS, OS/400, AIX, z/OS, etc.",
,Operating system is an interface  between computer  user and computer hardware,
,It is an interconnection between  the user and computer (Software/hardware),
,  Operating system is an interface between computer user and computer hardware,
,"An operating system is system software that manage computer hardware, software resources and providing common service for the computer program",
,Operating system is a system which operates the Operating system ,
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.",
,"It is a system software that manages computer hardware, software resources and provide common services for computer programs operating system",
,"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.
",
,An operating system is an interface between computer user and computer hardware,
,collection of programs that manages hardware resources. system service provider to the application programs. link to interface the hardware and application programs.,
,"An operating system, or ""OS,"" is software that communicates with the hardware and allows other programs to run.Every desktop computer, tablet, and smartphone includes an operating system that provides basic functionality for the device. Common desktop operating systems include Windows, OS X, and Linux",
,"An operating system, or ""OS,"" is software that communicates with the hardware and allows other programs to run.Every desktop computer, tablet, and smartphone includes an operating system that provides basic functionality for the device. Common desktop operating systems include Windows, OS X, and Linux",
,It's and interface between user and computer. It's a software manages hardware and other software and performs all basic taka in a computer,
,"An operating system, or ""OS,"" is software that communicates with the hardware and allows other programs to run.Every desktop computer, tablet, and smartphone includes an operating system that provides basic functionality for the device. Common desktop operating systems include Windows, OS X, and Linux",
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.",
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. ... Operating systems are found on many devices that contain a computer",
,"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.",
,"system software that manages computer hardware, software resources, and provides common services for computer programs. ",
,"Operating system (OS), program that manages a computer's resources, especially the allocation of those resources among other programs. ... Typical resources include the central processing unit (CPU), computer memory, file storage, input/output (I/O) devices, and network connections.",
,An Operating System (OS) is an interface between a computer user and computer hardware,
,Operating system is the software that manages computer hardware and it provides computer services,
,"OS is system software that manages computer hardware, software resources, and provides common services for computer programs.",
,"Operating system is an software .where ,it is first software which runs the system which it is installed in it. Without it we cannot run or even open the system or device. It manages both hardware and software.",
,"Software that manages computer hardware,software resources,and provides common services for computer programs.",
,"It is software that manages computer hardware, software resources, and provides common services for computer programs.",
,An operating system is a software that acts like an interface between user and hardware components,
,"An operating system is system software that manages computer hardware,software resources and provides common services.",
,"An operating system is an interface between a computer user and computer hardware.An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output,and controlling peripheral devices such as disk drives and printers.",
,"An operating system  is system software that manages computer hardware, software resources, and provides common services for computer programs. ... Other specialized classes of operating systems (special-purpose operating systems)), such as embedded and real-time systems, exist for many applications.",
,"OS is system software that manages computer hardware, software resources, and provides common services for computer programs",
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. Other specialized classes of operating systems (special-purpose operating systems)), such as embedded and real-time systems, exist for many applications.",
,"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.",
,An operating system is a software that acts as an interface between computer hardware components and the user of the computer.,
, An operating system is system software that manages computer hardware and software resources and provides common services,
,The operating system is an interface between a user and computer hardware,
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. Operating systems are found on many devices that contain a computer – from cellular phones and video game consoles to web servers and supercomputers.",
,It is system software manages computer hardware and software resources ,
,Interface between a computer user and computer hardware,
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. ... Operating systems are found on many devices that contain a computer – from cellular phones and video game consoles to web servers and supercomputers.",
,"An Operating System (OS) is a software that acts as an interface between computer hardware components and the user. Every computer system must have at least one operating system to run other programs. Applications like Browsers, MS Office, Notepad Games, etc., need some environment to run and perform its tasks.
The OS helps you to communicate with the computer without knowing how to speak the computer's language. It is not possible for the user to use any computer or mobile device without having an operating system. Operating systems are found on many devices that contain a computer – from cellular phones and video game consoles to web servers and supercomputers.",
,An Operating System is a program that acts as an interface between computer hardware and the user. It actually deals with the device's hardware and it controls the execution of all kinds of programs. ,
,A program which executes the application programs or an interface between software and hardware components.,
,"An operating system, or ""OS,"" is software that communicates with the hardware and allows other programs to run. ... Every desktop computer, tablet, and smartphone includes an operating system that provides basic functionality for the device. Common desktop operating systems include Windows, OS X, and Linux.",
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. ",
,"It is a system software which controls and manages the hardware,software resources and work .",
,Operating system is system software that controls the computer hardware and software and provides common services to computer programming. ,
,"An operating system is system software, which acts as an interface between a user of the computer and  computer hardware. It  provides common service for computer programs.",
,"An operating system is system software which manages computer hardware, software resources, and provides common services for computer programs. Other specialized classes of operating systems (special-purpose operating systems)), such as embedded and real-time systems, exist for many applications.",
,The software that manages computer hardware and software resources and provides common services for computer programs,
,"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.Operating systems are found on many devices that contain a computer from cellular phones and video game consoles to web servers and supercomputers.",
,An Operating System (OS) is a software that acts as an interface between computer hardware components and the user.,
,"Software that manages computer hardware, software resources, and provides common services for computer programs. 
It acts as interface between user and the computer.",
,"The operating system is an interface between computer user and computer software. Which contains tasks like file management, memory management.",
,An Operating System (OS) is a software that acts as an interface between computer hardware components and the user,
,"An operating system is a system software that manages computer hardware, software resources and provides common services for computer programs. Ji",
,"An Operating System (OS) is a software that acts as an interface between computer hardware components and the user. Every computer system must have at least one operating system to run other programs. Applications like Browsers, MS Office, Notepad Games, etc., need some environment to run and perform its tasks.

The OS helps you to communicate with the computer without knowing how to speak the computer's language. It is not possible for the user to use any computer or mobile device without having an operating system.",
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.It is found in smart phones,super computers etc.,",
,"OS is which operates computer software and hardware and provide common services for computer programs 
Os supports multiple tasking 
Os saves data without losing it",
,It's an os which can't have any deadline ,
,"An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers",
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.",
,"It is a software that manages computer  Hardware ,software resources.and provides common services for computer programs",
,"Os is an interface between the user and the software, hardware components of a computer by which we can use those components to have nice user experience.",
,An Operating System (OS) is a software that acts as an interface between computer hardware components and the user,
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.",
,"It's a system software that manages computer hardware, software, resources and provides common services for computer programs. Operating systems are found on many devices that contain a computer from cellular phones and video game consoles to web services and super computers.",
,"An operating system is system software that manages computer hard ware, software resources, and provides common services for computer programs. ",
,"An Operating System (OS) is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.

Some popular Operating Systems include Linux Operating System, Windows Operating System, VMS, OS/400, AIX, z/OS, etc.
An operating system is a program that acts as an interface between the user and the computer hardware and controls the execution of all kinds of programs.",
,"An operating system is software that communicates with the hardware and allows other programs to run. Every desktop computer, tablet, and smartphone includes an operating system that provides basic functionality for the device. Common desktop operating systems include Windows, OS X, and Linux.",
,"An Operating System (OS) is a software that acts as an interface between computer hardware components and the user. Every computer system must have at least one operating system to run other programs. Applications like Browsers, MS Office, Notepad Games, etc.,",
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs.",
,It is the software that manages hardware and software resources. In other words it is an interface between computer user and computer hardware.,
,An operating system is a software that acts as an interface  between computer hardware and the user.,
,Operating system is a software that operates hardware and software resources,
,An interface between user and computer hardware,
,An Operating System  is an interface between a computer user and computer hardware,
,"An operating system is a software that manages computer hardware, software resources,and provides common services for computer programs .it manages a computer's resources, especially the allocation of those resources among the programs.typical resources include the central processing unit (CPU), memory,file storage,input/output devices and network connections.",
,Operating system is an system software which acts as an interface between computer hardware and software and proforms operations,
,An Operating System (OS) is a software that acts as an interface between computer hardware components and the user,
,An operating system is a software which acts as an interfacebetween hardware components and user,
,An operating system is a system software that acts as an interface between the user and computer hardware. ,
,Software that manage computer hardware and software resources that provides common services.It acts an interface between user and computer hardware.it act as an interface between user and application.,
,"It is a system software that manages computer hardware, resources and provides services for computer programs",
,"An os is a interface between user and computer.
It integrates hardware and software.
It act as the communication path.
There are many options of os ,some most preferd and most known are ,windows,macos,linux,ubuntu
",
,An operating system is a software that communicates with the hardware and allows other programs to run.,
,It is a system software which acts as an interface between user and system.,
,"Operating system (OS), program that manages a computer's resources, especially the allocation of those resources among other programs",
,opearating system is a software,
,os is a software ,
,"An operating system (OS) is the program that, after being initially loaded into the computer by a boot program, manages all of the other application programs in a computer.",
,"An operating system is a software that communicates with the hardware and allows other programs to run. It is comprised of system software, or the fundamental files your computer needs to boot up and function.Common desktop operating systems include Windows, OS X, and Linux.",
,"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs. An operating system has three main functions: manage the computer's resources, such as the central processing unit, memory, disk drives, and printers, establish a user interface, and, execute and provide services for applications software.",
,"An operating system is an interface between computer hardware and software. As we cannot interact directly with the system hardware , we need an interface. That Interface is called operating system. It manages processes,  handles filesystems etc.",
,It is a system software that manages all the processes and functions.,
,"Operating system (OS), program that manages a computer's resources, especially the allocation of those resources among other programs. ... Typical resources include the central processing unit (CPU), computer memory, file storage, input/output (I/O) devices, and network connections.
Following are the popular types of Operating System:
Batch Operating System.
Multitasking/Time Sharing OS.
Multiprocessing OS.
Real Time OS.
Distributed OS.
Network OS.
Mobile OS.",
,"program that manages a computer's resources, especially the allocation of those resources among other programs.Typical resources include the central processing unit (CPU), computer memory, file storage, input/output (I/O) devices, and network connections",
,"An operating system is a software which performs all the basic tasks like handling input and output,memory management.operating system is a interface between a computer user and computer hardware",
,"1)An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.
2) Operating system acts as an intermediate between the user and system hardware..
",
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs",
,"An operating system  is a interface between computer software and computer hardware.This is the reason the basic functionalities like file management,disk and memory management in the computer are performed by the user.",
,An operating system is an Interface between hardware and a software. ,
,An Operating System is a collection of programs that controls the execution of process and acts as an interface between  user and the computer hardware.,
,Operating system is a interface between the user and computer and the computer hardware.,
,"An Operating System (OS) is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.

Some popular Operating Systems include Linux Operating System, Windows Operating System etc",
,"- An operating system is a program that acts as an interface between the user and the computer hardware and controls the execution of all kinds of programs.
- Following are some of important functions of an operating System.

1. Memory Management
2. Processor Management
3. Device Management
4. File Management
5. Security
6. Control over system performance
7. Job accounting
8. Error detecting aids
9. Coordination between other software and users",
,"An Operating System (OS) is a software that acts as an interface between computer hardware components and the user. Every computer system must have at least one operating system to run other programs. 
An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.
Some popular Operating Systems include Linux Operating System, Windows Operating System,mac Operating System etc",
,"An Operating System (OS) is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.

Some popular Operating Systems include Linux Operating System, Windows Operating System etc",
,"An Operating System (OS) is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.

Some popular Operating Systems include Linux Operating System, Windows Operating System etc..",
,"An operating system, or ""OS,"" is software that communicates with the hardware and allows other programs to run. ... Every desktop computer, tablet, and smartphone includes an operating system that provides basic functionality for the device. Common desktop operating systems include Windows, OS X, and Linux.",
,Interface between computer user and computer hardware,
,It is a good interaction between user and the computer.,
,"Operating system is an interface between computer hardware and user. Ex: windows, linux etc..",
,"Operating system is a program that act as an interface between computer hardware and user 
Nd controls the execution of all programs",
,An operating System is an interface between the computer system and the user,
,Operating system is an intermediary between the user and computer (system) ,
,"OS acts as interface between computer user and computer hardware, It is like a software, it can manage hardware, computer resources and also provides services to complete tasks.",
,"It is system software, which acts as an interface between a user of the computer and the computer hardware.",
,"It is the interface between the user and computer hardware. It provides the software to perform different operations according to the requirements of the user. It is like heart to the computer system, with out it we cannot interact with components of the system. ",
,bridge with hardware and sofware,
,"An Operating System is an interface between a computer user and computer hardware. An operating system is a software which performs all the basic tasks like file management, memory management, process management, handling input and output, and controlling peripheral devices such as disk drives and printers.",
,Operating system is a combination of both hardware and software that provides common services to the computer program or end user.,
,System of operation,
,It is an interface between User and Hardware of the system.,
,It is a set of computer programs. It is an interface between the user and computer hardware,
,"Operating system is an interface between user and hardware.  It is a system software. It allows communication between user , hardware and other ip/op",
,Operating Systems are software systems that control the computer’s resources. It is software that allows applications to interact with the hardware on a computer. Software can interact with hardware directly. But most software isn’t written to a particular piece of hardware .The operating system takes care of interacting with the hardware,
,"An operating system is a software that acts as an interface between computer hardware components and the user.The operating system manages the user interface, hardware,and all other software components.",
,"An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs",
,Operating system is a combination of both hardware and software that provides common services to the computer program or end user.,
,Operating system is an interface between user and hardware. It is system software,
,"Operating System is an interface between user and hardware 
If user want to access the hardware directly then he need to go through lot of code,  even to execute a small code where as Operating System has system calls for such small codes example: printf. 

In case if we don't have Operating System,  we are supposed to write entire code. 

If many people need the same functionality instead of asking every one to implement it, Operating System is going to provide it at one place. So that the user can directly use the functionality need not to bother about their implementation. ",
,"An Operating System performs all the basic tasks like managing files, processes, and memory. Thus operating system acts as the manager of all the resources, resource manager.",
,"1. Operating system is a system software,Acts as interface between user and Hardware.
2.Examples: Windows, linux, GNU
3. Operating system manages Memory, storage and also provides security and privacy management. ",
,An operating system is a software which act as buffer between user and hardware andit also act as resource manager in computer,
,"An operating system is a program that acts as an interface between the user and the computer hardware and controls the execution of all kinds of programs. Some of the important functions of an operating System are: 
Memory Management, Processor Management, Device Management, File Management, Security, Error detecting aids.",
,Os is an interface between user & the hardware device. It is also a system software that manages software resources & manage computer hardware,
,An operating system is software that acts as an interface between computer hardware and user and control the execution of all kinds of programs .,
,"Interface between user and computer hardware.it performs file management,memory,process management and input, output devices and all pheripheral devices and Printers etc�",
,An operating system is a program that acts as an interface between the user and the computer hardware and controls the execution of all kinds of programs.,
,3,
,Operating system is a program that acts as an interface between user and computer hardware and controls the execution of all kinds of programs,
,"An operating system is an interface between the computer user and the hardware .every desktop,smartphone ,tablets contain an operating system in it.",
,"An Operating System (OS) is a software that acts as an interface between computer hardware components and the user. Every computer system must have at least one operating system to run other programs. Applications like Browsers, MS Office, Notepad Games, etc., need some environment to run and perform its tasks.",
,"Operating system is a system software,it manages  hardware and software resources.",
,"Operating system is system software,that manages computer hardware and software resources, providing common services for computer programming and it handle everything in a computer.without os we can't access the hardware devices.incase os is not introduced then we have to write code for that particular hardware and we have to write what we want.only experts can do this.new users can't use that system.so operating system is more important,operating system like windows, Linux, Unix ect.",
,"An operating system is software that manages the computer hardware. Operating system is an interface between computer user and computer hardware. Operating system is a resource manager. Operating system is a resource allocator. Without an operating system it is hard to implement the hardware. Some examples  of operating system are Windows , Mac OS , Linux , Android , ios etc.,",
,An operating system is kind of bridge between the user and the hardware components. It is a software which allows all the programs to run.,
,Operating system is a system software that processes computer hardware and software they are found in many devices that contian computer from cellulore phones vedio games etc,
,Operating system is a system software that processes computer hardware and software they are found in many devices that contian computer from cellulore phones vedio games etc,
,"It is a software that manage computer hardware, software resources and provides common services to computerand it acts  interface between the user of the computer and computer hardware",
,"It is a interface between user and computer hardware. 
It provides a basis for application programs. 
",
